StudyInstanceUID,fold
1.2.826.0.1.3680043.8.498.10505282086293876725410939800054491454,1
1.2.826.0.1.3680043.8.498.10511712617129216774539441890488742560,2
1.2.826.0.1.3680043.8.498.10512466806929129734785318932315918522,0
1.2.826.0.1.3680043.8.498.10519480654942067141173172019311858213,0
1.2.826.0.1.3680043.8.498.10519566075312736546346469231439794627,3
1.2.826.0.1.3680043.8.498.10521372086358356219840179458708706015,2
1.2.826.0.1.3680043.8.498.10522585237725235866013737575867341946,4
1.2.826.0.1.3680043.8.498.10524164196949381411165626176732559196,0
1.2.826.0.1.3680043.8.498.10530226787566708645477257565528473018,0
1.2.826.0.1.3680043.8.498.10532708800468111850607752497432656694,2
1.2.826.0.1.3680043.8.498.10533568124272062696642461303295694739,3
1.2.826.0.1.3680043.8.498.10534260101860670685224894870019533364,2
1.2.826.0.1.3680043.8.498.10536557774352716497356905292652597953,2
1.2.826.0.1.3680043.8.498.10537503354035115750949427337500909327,4
1.2.826.0.1.3680043.8.498.10538502578022388392340022120166213828,4
1.2.826.0.1.3680043.8.498.10540882690103231159064894952851205573,4
1.2.826.0.1.3680043.8.498.10540980111087702906123811593906850156,4
1.2.826.0.1.3680043.8.498.10541029960718591409318399557079055927,4
1.2.826.0.1.3680043.8.498.10541215772904358938061268226270989801,0
1.2.826.0.1.3680043.8.498.10541227283184832783436242773084724216,3
1.2.826.0.1.3680043.8.498.10542526906255526405613760733936070251,1
1.2.826.0.1.3680043.8.498.10546313646515875953943156661172963953,1
1.2.826.0.1.3680043.8.498.10549360192675575195491716398555148512,3
1.2.826.0.1.3680043.8.498.10562412345413239960204081248510238736,2
1.2.826.0.1.3680043.8.498.10563016328082326759266280856730347260,4
1.2.826.0.1.3680043.8.498.10574706940531650593705137704922433109,2
1.2.826.0.1.3680043.8.498.10578013533179563448221888658506023084,3
1.2.826.0.1.3680043.8.498.10580260109117947709069163110100632085,0
1.2.826.0.1.3680043.8.498.10581718331223731732815674582085184169,1
1.2.826.0.1.3680043.8.498.10587511485561679190576188107774736852,2
1.2.826.0.1.3680043.8.498.10589889055723532336864750992142411145,4
1.2.826.0.1.3680043.8.498.10590148272001480024086117269799629816,0
1.2.826.0.1.3680043.8.498.10590169032156570386146081157598789893,1
1.2.826.0.1.3680043.8.498.10591507262178959553431147886647585916,0
1.2.826.0.1.3680043.8.498.10593694750925047629619718537436931628,3
1.2.826.0.1.3680043.8.498.10599128554628698518723223547497007137,4
1.2.826.0.1.3680043.8.498.10600654987896381983520458496207741798,2
1.2.826.0.1.3680043.8.498.10601062881015669567737602031338578146,2
1.2.826.0.1.3680043.8.498.10601711635138681269270505152909539290,0
1.2.826.0.1.3680043.8.498.10601812195848580582490508608655011196,3
1.2.826.0.1.3680043.8.498.10603952065748622499432940419853732241,1
1.2.826.0.1.3680043.8.498.10614508096225944703643482200835890514,3
1.2.826.0.1.3680043.8.498.10615816709018712955642546871639043403,4
1.2.826.0.1.3680043.8.498.10619486897279334206912764495067756449,4
1.2.826.0.1.3680043.8.498.10619967804774235096151367674093177430,3
1.2.826.0.1.3680043.8.498.10624417936475721846835761375334601839,0
1.2.826.0.1.3680043.8.498.10626071553432761206594400919097854593,4
1.2.826.0.1.3680043.8.498.10626411974489938664325062396760010912,2
1.2.826.0.1.3680043.8.498.10627019153481144392726933328057818971,1
1.2.826.0.1.3680043.8.498.10627795990821506536342369227971125477,4
1.2.826.0.1.3680043.8.498.10631238417904652761254062374051500506,1
1.2.826.0.1.3680043.8.498.10632177122947017620482277062226288392,3
1.2.826.0.1.3680043.8.498.10642286343421893916348249679230632066,2
1.2.826.0.1.3680043.8.498.10648346793256473462304051626410900340,3
1.2.826.0.1.3680043.8.498.10650751856837517181090589171468851374,0
1.2.826.0.1.3680043.8.498.10652685418462611085839874321267337079,2
1.2.826.0.1.3680043.8.498.10652764425372125015319160977894047658,1
1.2.826.0.1.3680043.8.498.10653432159060774337155662807644609967,3
1.2.826.0.1.3680043.8.498.10656388982978239967297620214873636996,4
1.2.826.0.1.3680043.8.498.10657506540109137829814058249895525831,0
1.2.826.0.1.3680043.8.498.10657584461509809047185519742966035356,4
1.2.826.0.1.3680043.8.498.10659781998801845781246073928620795082,2
1.2.826.0.1.3680043.8.498.10661650555947788912511478165000737040,4
1.2.826.0.1.3680043.8.498.10673300644364559354643106316993112731,3
1.2.826.0.1.3680043.8.498.10674673641872871321890995010616205087,3
1.2.826.0.1.3680043.8.498.10675139840690240606562530926349987331,0
1.2.826.0.1.3680043.8.498.10676253869668012791900504544106495589,2
1.2.826.0.1.3680043.8.498.10684020894033412667820478260168097071,3
1.2.826.0.1.3680043.8.498.10686407053180376367066321489809395592,0
1.2.826.0.1.3680043.8.498.10688670034893539180306173203903350286,3
1.2.826.0.1.3680043.8.498.10699348333280906956391277892869999716,3
1.2.826.0.1.3680043.8.498.10702284568670902901846767166679293654,3
1.2.826.0.1.3680043.8.498.10704240846075023334288326143979277080,1
1.2.826.0.1.3680043.8.498.10713285016170190922777298047146228811,0
1.2.826.0.1.3680043.8.498.10715956446507906169485719013515169244,1
1.2.826.0.1.3680043.8.498.10724604223190030113012801427752979879,4
1.2.826.0.1.3680043.8.498.10726624821670417064567481545750543282,0
1.2.826.0.1.3680043.8.498.10728448245470003618625208276233778895,1
1.2.826.0.1.3680043.8.498.10729725525284633011179038668107963557,2
1.2.826.0.1.3680043.8.498.10731612202208916303411280624156291171,3
1.2.826.0.1.3680043.8.498.10736346409444614168571281812134757732,2
1.2.826.0.1.3680043.8.498.10738640862162795323010965765443420384,3
1.2.826.0.1.3680043.8.498.10739653650865735867752564520952904802,3
1.2.826.0.1.3680043.8.498.10740857795874468664161171813136103519,3
1.2.826.0.1.3680043.8.498.10748806810865802591313438958975301375,0
1.2.826.0.1.3680043.8.498.10750145216793948201921667945805555093,0
1.2.826.0.1.3680043.8.498.10751346650129497348457481341700957445,0
1.2.826.0.1.3680043.8.498.10751624265599812767108610284996090628,1
1.2.826.0.1.3680043.8.498.10756245293186761042431460535210737327,1
1.2.826.0.1.3680043.8.498.10759288702627176691392048851622294054,3
1.2.826.0.1.3680043.8.498.10760847155803463653759690525160815826,2
1.2.826.0.1.3680043.8.498.10761658878615069270304502752374858610,0
1.2.826.0.1.3680043.8.498.10762741411077456296656623422020928762,4
1.2.826.0.1.3680043.8.498.10765617676329232046176300833850901740,4
1.2.826.0.1.3680043.8.498.10768305343887790230989914438483009428,3
1.2.826.0.1.3680043.8.498.10769126730281890056368854871900324448,1
1.2.826.0.1.3680043.8.498.10770877369291591553624215762368014357,2
1.2.826.0.1.3680043.8.498.10774147135673365265606645781662088745,2
1.2.826.0.1.3680043.8.498.10777331080659372520952742261140923555,2
1.2.826.0.1.3680043.8.498.10782963448708192069959366583555573334,3
1.2.826.0.1.3680043.8.498.10783501127779906316117667790784040770,1
1.2.826.0.1.3680043.8.498.10790689419760453870458170966064168002,0
1.2.826.0.1.3680043.8.498.10802653832050736637820225444196833450,1
1.2.826.0.1.3680043.8.498.10803283287658556463524649793955055077,4
1.2.826.0.1.3680043.8.498.10808663384878038371710260386807468588,1
1.2.826.0.1.3680043.8.498.10812894672739619566834776054635588406,3
1.2.826.0.1.3680043.8.498.10818980124981334596808438908811623528,3
1.2.826.0.1.3680043.8.498.10824420630965162625242888916805538597,0
1.2.826.0.1.3680043.8.498.10829579914809383212986717269028170263,0
1.2.826.0.1.3680043.8.498.10830288389793651695251406408666084306,1
1.2.826.0.1.3680043.8.498.10835889400414225749339608096119636738,2
1.2.826.0.1.3680043.8.498.10839126901366636822676830560774505865,1
1.2.826.0.1.3680043.8.498.10842906919708856642000130208791281263,0
1.2.826.0.1.3680043.8.498.10843463954622076609489312662891432839,3
1.2.826.0.1.3680043.8.498.10843917293035279597622029625809500972,3
1.2.826.0.1.3680043.8.498.10848350333764008140459854470293737650,3
1.2.826.0.1.3680043.8.498.10850742579000782417673172155504794301,4
1.2.826.0.1.3680043.8.498.10851562687641986545442408470139368318,2
1.2.826.0.1.3680043.8.498.10852517092524464338210061305792376636,0
1.2.826.0.1.3680043.8.498.10854012268828835845581966634225522931,2
1.2.826.0.1.3680043.8.498.10854223557359336882116168394037581766,1
1.2.826.0.1.3680043.8.498.10855290714402117092990651362697310270,0
1.2.826.0.1.3680043.8.498.10857485602186206735293765836065270655,0
1.2.826.0.1.3680043.8.498.10857771747813858957718058322384884551,2
1.2.826.0.1.3680043.8.498.10862481204237376580557516731952961213,3
1.2.826.0.1.3680043.8.498.10867622488467375444427908425709367385,4
1.2.826.0.1.3680043.8.498.10876177342063734507664188801203192617,2
1.2.826.0.1.3680043.8.498.10880553082640412137979450100928382021,0
1.2.826.0.1.3680043.8.498.10884987036948550523442514147204321748,1
1.2.826.0.1.3680043.8.498.10886583574130697346788286647281863932,2
1.2.826.0.1.3680043.8.498.10890699078723972693302029683905114834,4
1.2.826.0.1.3680043.8.498.10895521387894821238259709507311341758,3
1.2.826.0.1.3680043.8.498.10896245499713818848442117831482755673,4
1.2.826.0.1.3680043.8.498.10902166579916526176697193295886992412,1
1.2.826.0.1.3680043.8.498.10903003118372337016190215211789983264,4
1.2.826.0.1.3680043.8.498.10917389623891555306584069980815338466,0
1.2.826.0.1.3680043.8.498.10917606677895195837968927716728385881,4
1.2.826.0.1.3680043.8.498.10918580785296934228715514366408269433,4
1.2.826.0.1.3680043.8.498.10919665962088003807153039302898262235,1
1.2.826.0.1.3680043.8.498.10920269679387171659375091645187772303,0
1.2.826.0.1.3680043.8.498.10924685588962763768106617368647678902,3
1.2.826.0.1.3680043.8.498.10924995713871537837233985073507509566,4
1.2.826.0.1.3680043.8.498.10927716750119165925963563081261605359,1
1.2.826.0.1.3680043.8.498.10930374192038896613513882597332665403,1
1.2.826.0.1.3680043.8.498.10931111730564885182398163970692599398,2
1.2.826.0.1.3680043.8.498.10932818400202426453525918723737011737,1
1.2.826.0.1.3680043.8.498.10933003998197427979325590791540457658,4
1.2.826.0.1.3680043.8.498.10937181824204907065071760564745305722,3
1.2.826.0.1.3680043.8.498.10937504474673840994058935502377258768,0
1.2.826.0.1.3680043.8.498.10937585701850306334458420860276069606,4
1.2.826.0.1.3680043.8.498.10938719716535758543863717421521822626,4
1.2.826.0.1.3680043.8.498.10939964887585312209861601414669494409,4
1.2.826.0.1.3680043.8.498.10951328287594724738476663200798896670,0
1.2.826.0.1.3680043.8.498.10959153852077371752490787490374555514,1
1.2.826.0.1.3680043.8.498.10960770430559425421609885784366918575,0
1.2.826.0.1.3680043.8.498.10964287649604862436796341368993301245,1
1.2.826.0.1.3680043.8.498.10965573028231658307306828073340279415,1
1.2.826.0.1.3680043.8.498.10975347305662629858093628672419901528,4
1.2.826.0.1.3680043.8.498.10979105661314213697886164132444977106,2
1.2.826.0.1.3680043.8.498.10981062990502278795793220223076241424,1
1.2.826.0.1.3680043.8.498.10983416091338854252058678062116243962,0
1.2.826.0.1.3680043.8.498.10992875360571368325079907908221899699,2
1.2.826.0.1.3680043.8.498.10994554560803816407362754025763036100,4
1.2.826.0.1.3680043.8.498.10994848378662155711176898659205016445,1
1.2.826.0.1.3680043.8.498.10994854354532517072359864903910225174,0
1.2.826.0.1.3680043.8.498.10994899269366718796438389394954844979,0
1.2.826.0.1.3680043.8.498.10995980880227536691827030731644023480,0
1.2.826.0.1.3680043.8.498.10998144118962608870602180672090998054,0
1.2.826.0.1.3680043.8.498.10998405409474759941744305665540376339,2
1.2.826.0.1.3680043.8.498.11006241238894862275805535376070111510,2
1.2.826.0.1.3680043.8.498.11007527194601989039620198927241696256,2
1.2.826.0.1.3680043.8.498.11010004366885474301784150582039137111,1
1.2.826.0.1.3680043.8.498.11011061033863592500429481719734134286,0
1.2.826.0.1.3680043.8.498.11014091506864318694851337553197477906,1
1.2.826.0.1.3680043.8.498.11040296449332764126530525726037541310,2
1.2.826.0.1.3680043.8.498.11041694833778404465582610810664391088,3
1.2.826.0.1.3680043.8.498.11043081829401721095803441219553837608,4
1.2.826.0.1.3680043.8.498.11043543420859531726426521315399258528,1
1.2.826.0.1.3680043.8.498.11043926695471016727738735328317975282,2
1.2.826.0.1.3680043.8.498.11045459770905584149950259201414074545,3
1.2.826.0.1.3680043.8.498.11049882927267755769995376553330493298,0
1.2.826.0.1.3680043.8.498.11050604958275820465127935558416408008,4
1.2.826.0.1.3680043.8.498.11052656375391331522834364601050945860,0
1.2.826.0.1.3680043.8.498.11052720536194493057619720620119095739,2
1.2.826.0.1.3680043.8.498.11057883757434391643878168168845592475,0
1.2.826.0.1.3680043.8.498.11060834081463491262807709963877480026,3
1.2.826.0.1.3680043.8.498.11064977170395595339882840534354229547,0
1.2.826.0.1.3680043.8.498.11067200656721609390997819562401839124,1
1.2.826.0.1.3680043.8.498.11070900122260301212131296598983372089,3
1.2.826.0.1.3680043.8.498.11077406555624926104628200252710914930,1
1.2.826.0.1.3680043.8.498.11079556243110299049578981210837702995,3
1.2.826.0.1.3680043.8.498.11080651962904815250736183346281427445,0
1.2.826.0.1.3680043.8.498.11084010833221855396433326769153950681,1
1.2.826.0.1.3680043.8.498.11090884548990390279582832205294943635,0
1.2.826.0.1.3680043.8.498.11091958567356981151034727948765010881,3
1.2.826.0.1.3680043.8.498.11100224438877567316062152508871079233,1
1.2.826.0.1.3680043.8.498.11103894265181149878864749992746236768,4
1.2.826.0.1.3680043.8.498.11110575656494405149601490027444484170,0
1.2.826.0.1.3680043.8.498.11111022632180183697497694737350901427,3
1.2.826.0.1.3680043.8.498.11113442398569287228475456000446876768,3
1.2.826.0.1.3680043.8.498.11119324966854127911591363740049886324,3
1.2.826.0.1.3680043.8.498.11122485005317809892694992204053124213,2
1.2.826.0.1.3680043.8.498.11123446342116837882811834332727990911,1
1.2.826.0.1.3680043.8.498.11125718814639515292482773418372267821,3
1.2.826.0.1.3680043.8.498.11126383719852491587081347886000714259,0
1.2.826.0.1.3680043.8.498.11128099896284546522122813576483001027,3
1.2.826.0.1.3680043.8.498.11129751904857491327872353316480050290,1
1.2.826.0.1.3680043.8.498.11131210140372132238166068091728877219,4
1.2.826.0.1.3680043.8.498.11135115047200279264914390528987153419,3
1.2.826.0.1.3680043.8.498.11136723251983227230447257874027263286,1
1.2.826.0.1.3680043.8.498.11145632111083286399683467139301564425,1
1.2.826.0.1.3680043.8.498.11148939654362681630811787929668902046,2
1.2.826.0.1.3680043.8.498.11149530279799223497509928655010867960,0
1.2.826.0.1.3680043.8.498.11150193626240150189232364321568347937,4
1.2.826.0.1.3680043.8.498.11150597567791052354257165699079348456,1
1.2.826.0.1.3680043.8.498.11150751959089942633754454715290410758,0
1.2.826.0.1.3680043.8.498.11152585968424897353533125085307104033,1
1.2.826.0.1.3680043.8.498.11154238555579687338157479416363307605,3
1.2.826.0.1.3680043.8.498.11156884483511690263238401598901614096,2
1.2.826.0.1.3680043.8.498.11159546221032123495135103648570690656,2
1.2.826.0.1.3680043.8.498.11173951743276817877673759975853741079,2
1.2.826.0.1.3680043.8.498.11180457573346204459956051956213528997,2
1.2.826.0.1.3680043.8.498.11183915112115196028799391678356464392,3
1.2.826.0.1.3680043.8.498.11184968672176462852561645279750399747,0
1.2.826.0.1.3680043.8.498.11190292536746235063218740991532759863,2
1.2.826.0.1.3680043.8.498.11191015483427903713800997920940844550,4
1.2.826.0.1.3680043.8.498.11192287547210248515805146368662883131,4
1.2.826.0.1.3680043.8.498.11201589885283493748455257854104771618,0
1.2.826.0.1.3680043.8.498.11201741528059502111642265469347871878,3
