StudyInstanceUID,fold
1.2.826.0.1.3680043.8.498.10541215772904358938061268226270989801,2
1.2.826.0.1.3680043.8.498.10541227283184832783436242773084724216,2
1.2.826.0.1.3680043.8.498.10542526906255526405613760733936070251,4
1.2.826.0.1.3680043.8.498.10546313646515875953943156661172963953,0
1.2.826.0.1.3680043.8.498.10549360192675575195491716398555148512,1
1.2.826.0.1.3680043.8.498.10562412345413239960204081248510238736,0
1.2.826.0.1.3680043.8.498.10563016328082326759266280856730347260,1
1.2.826.0.1.3680043.8.498.10574706940531650593705137704922433109,4
1.2.826.0.1.3680043.8.498.10578013533179563448221888658506023084,1
1.2.826.0.1.3680043.8.498.10580260109117947709069163110100632085,1
1.2.826.0.1.3680043.8.498.10581718331223731732815674582085184169,3
1.2.826.0.1.3680043.8.498.10587511485561679190576188107774736852,3
1.2.826.0.1.3680043.8.498.10589889055723532336864750992142411145,1
1.2.826.0.1.3680043.8.498.10590148272001480024086117269799629816,2
1.2.826.0.1.3680043.8.498.10590169032156570386146081157598789893,0
1.2.826.0.1.3680043.8.498.10591507262178959553431147886647585916,4
1.2.826.0.1.3680043.8.498.10593694750925047629619718537436931628,2
1.2.826.0.1.3680043.8.498.10599128554628698518723223547497007137,3
1.2.826.0.1.3680043.8.498.10600654987896381983520458496207741798,1
1.2.826.0.1.3680043.8.498.10601062881015669567737602031338578146,3
1.2.826.0.1.3680043.8.498.10601711635138681269270505152909539290,4
1.2.826.0.1.3680043.8.498.10601812195848580582490508608655011196,1
1.2.826.0.1.3680043.8.498.10603952065748622499432940419853732241,2
1.2.826.0.1.3680043.8.498.10614508096225944703643482200835890514,4
1.2.826.0.1.3680043.8.498.10615816709018712955642546871639043403,4
1.2.826.0.1.3680043.8.498.10619486897279334206912764495067756449,1
1.2.826.0.1.3680043.8.498.10619967804774235096151367674093177430,1
1.2.826.0.1.3680043.8.498.10624417936475721846835761375334601839,1
1.2.826.0.1.3680043.8.498.10626071553432761206594400919097854593,2
1.2.826.0.1.3680043.8.498.10626411974489938664325062396760010912,2
1.2.826.0.1.3680043.8.498.10627019153481144392726933328057818971,4
1.2.826.0.1.3680043.8.498.10627795990821506536342369227971125477,0
1.2.826.0.1.3680043.8.498.10631238417904652761254062374051500506,0
1.2.826.0.1.3680043.8.498.10632177122947017620482277062226288392,2
1.2.826.0.1.3680043.8.498.10642286343421893916348249679230632066,1
1.2.826.0.1.3680043.8.498.10648346793256473462304051626410900340,2
1.2.826.0.1.3680043.8.498.10650751856837517181090589171468851374,3
1.2.826.0.1.3680043.8.498.10652685418462611085839874321267337079,1
1.2.826.0.1.3680043.8.498.10652764425372125015319160977894047658,1
1.2.826.0.1.3680043.8.498.10653432159060774337155662807644609967,3
1.2.826.0.1.3680043.8.498.10656388982978239967297620214873636996,2
1.2.826.0.1.3680043.8.498.10657506540109137829814058249895525831,1
1.2.826.0.1.3680043.8.498.10657584461509809047185519742966035356,4
1.2.826.0.1.3680043.8.498.10659781998801845781246073928620795082,2
1.2.826.0.1.3680043.8.498.10661650555947788912511478165000737040,1
1.2.826.0.1.3680043.8.498.10673300644364559354643106316993112731,4
1.2.826.0.1.3680043.8.498.10674673641872871321890995010616205087,3
1.2.826.0.1.3680043.8.498.10675139840690240606562530926349987331,4
1.2.826.0.1.3680043.8.498.10676253869668012791900504544106495589,4
1.2.826.0.1.3680043.8.498.10684020894033412667820478260168097071,4
1.2.826.0.1.3680043.8.498.10686407053180376367066321489809395592,4
1.2.826.0.1.3680043.8.498.10688670034893539180306173203903350286,3
1.2.826.0.1.3680043.8.498.10699348333280906956391277892869999716,0
1.2.826.0.1.3680043.8.498.10702284568670902901846767166679293654,2
1.2.826.0.1.3680043.8.498.10704240846075023334288326143979277080,0
1.2.826.0.1.3680043.8.498.10713285016170190922777298047146228811,1
1.2.826.0.1.3680043.8.498.10715956446507906169485719013515169244,0
1.2.826.0.1.3680043.8.498.10724604223190030113012801427752979879,4
1.2.826.0.1.3680043.8.498.10726624821670417064567481545750543282,4
1.2.826.0.1.3680043.8.498.10728448245470003618625208276233778895,4
1.2.826.0.1.3680043.8.498.10729725525284633011179038668107963557,1
1.2.826.0.1.3680043.8.498.10731612202208916303411280624156291171,0
1.2.826.0.1.3680043.8.498.10736346409444614168571281812134757732,0
1.2.826.0.1.3680043.8.498.10738640862162795323010965765443420384,4
1.2.826.0.1.3680043.8.498.10739653650865735867752564520952904802,3
1.2.826.0.1.3680043.8.498.10740857795874468664161171813136103519,2
1.2.826.0.1.3680043.8.498.10748806810865802591313438958975301375,2
1.2.826.0.1.3680043.8.498.10750145216793948201921667945805555093,0
1.2.826.0.1.3680043.8.498.10751346650129497348457481341700957445,3
1.2.826.0.1.3680043.8.498.10751624265599812767108610284996090628,3
1.2.826.0.1.3680043.8.498.10756245293186761042431460535210737327,2
1.2.826.0.1.3680043.8.498.10759288702627176691392048851622294054,0
1.2.826.0.1.3680043.8.498.10760847155803463653759690525160815826,1
1.2.826.0.1.3680043.8.498.10761658878615069270304502752374858610,4
1.2.826.0.1.3680043.8.498.10762741411077456296656623422020928762,0
1.2.826.0.1.3680043.8.498.10765617676329232046176300833850901740,1
1.2.826.0.1.3680043.8.498.10768305343887790230989914438483009428,3
1.2.826.0.1.3680043.8.498.10769126730281890056368854871900324448,2
1.2.826.0.1.3680043.8.498.10770877369291591553624215762368014357,2
1.2.826.0.1.3680043.8.498.10774147135673365265606645781662088745,3
1.2.826.0.1.3680043.8.498.10777331080659372520952742261140923555,1
1.2.826.0.1.3680043.8.498.10782963448708192069959366583555573334,2
1.2.826.0.1.3680043.8.498.10783501127779906316117667790784040770,2
1.2.826.0.1.3680043.8.498.10790689419760453870458170966064168002,1
1.2.826.0.1.3680043.8.498.10802653832050736637820225444196833450,1
1.2.826.0.1.3680043.8.498.10803283287658556463524649793955055077,4
1.2.826.0.1.3680043.8.498.10808663384878038371710260386807468588,0
1.2.826.0.1.3680043.8.498.10812894672739619566834776054635588406,1
1.2.826.0.1.3680043.8.498.10818980124981334596808438908811623528,4
1.2.826.0.1.3680043.8.498.10824420630965162625242888916805538597,0
1.2.826.0.1.3680043.8.498.10829579914809383212986717269028170263,0
1.2.826.0.1.3680043.8.498.10830288389793651695251406408666084306,0
1.2.826.0.1.3680043.8.498.10835889400414225749339608096119636738,3
1.2.826.0.1.3680043.8.498.10839126901366636822676830560774505865,0
1.2.826.0.1.3680043.8.498.10842906919708856642000130208791281263,4
1.2.826.0.1.3680043.8.498.10843463954622076609489312662891432839,4
1.2.826.0.1.3680043.8.498.10843917293035279597622029625809500972,1
1.2.826.0.1.3680043.8.498.10848350333764008140459854470293737650,4
1.2.826.0.1.3680043.8.498.10850742579000782417673172155504794301,3
1.2.826.0.1.3680043.8.498.10851562687641986545442408470139368318,3
1.2.826.0.1.3680043.8.498.10852517092524464338210061305792376636,2
1.2.826.0.1.3680043.8.498.10854012268828835845581966634225522931,4
1.2.826.0.1.3680043.8.498.10854223557359336882116168394037581766,1
1.2.826.0.1.3680043.8.498.10855290714402117092990651362697310270,4
1.2.826.0.1.3680043.8.498.10857485602186206735293765836065270655,1
1.2.826.0.1.3680043.8.498.10857771747813858957718058322384884551,1
1.2.826.0.1.3680043.8.498.10862481204237376580557516731952961213,3
1.2.826.0.1.3680043.8.498.10867622488467375444427908425709367385,0
1.2.826.0.1.3680043.8.498.10876177342063734507664188801203192617,1
1.2.826.0.1.3680043.8.498.10880553082640412137979450100928382021,0
1.2.826.0.1.3680043.8.498.10884987036948550523442514147204321748,4
1.2.826.0.1.3680043.8.498.10886583574130697346788286647281863932,4
1.2.826.0.1.3680043.8.498.10890699078723972693302029683905114834,1
1.2.826.0.1.3680043.8.498.10895521387894821238259709507311341758,1
1.2.826.0.1.3680043.8.498.10896245499713818848442117831482755673,1
1.2.826.0.1.3680043.8.498.10902166579916526176697193295886992412,4
1.2.826.0.1.3680043.8.498.10903003118372337016190215211789983264,0
1.2.826.0.1.3680043.8.498.10917389623891555306584069980815338466,3
1.2.826.0.1.3680043.8.498.10917606677895195837968927716728385881,2
1.2.826.0.1.3680043.8.498.10918580785296934228715514366408269433,0
1.2.826.0.1.3680043.8.498.10919665962088003807153039302898262235,3
1.2.826.0.1.3680043.8.498.10920269679387171659375091645187772303,1
1.2.826.0.1.3680043.8.498.10924685588962763768106617368647678902,1
1.2.826.0.1.3680043.8.498.10924995713871537837233985073507509566,1
1.2.826.0.1.3680043.8.498.10927716750119165925963563081261605359,4
1.2.826.0.1.3680043.8.498.10930374192038896613513882597332665403,0
1.2.826.0.1.3680043.8.498.10931111730564885182398163970692599398,2
1.2.826.0.1.3680043.8.498.10932818400202426453525918723737011737,0
1.2.826.0.1.3680043.8.498.10933003998197427979325590791540457658,3
1.2.826.0.1.3680043.8.498.10937181824204907065071760564745305722,4
1.2.826.0.1.3680043.8.498.10937504474673840994058935502377258768,3
1.2.826.0.1.3680043.8.498.10937585701850306334458420860276069606,4
1.2.826.0.1.3680043.8.498.10938719716535758543863717421521822626,0
1.2.826.0.1.3680043.8.498.10939964887585312209861601414669494409,1
1.2.826.0.1.3680043.8.498.10951328287594724738476663200798896670,0
1.2.826.0.1.3680043.8.498.10959153852077371752490787490374555514,4
1.2.826.0.1.3680043.8.498.10960770430559425421609885784366918575,1
1.2.826.0.1.3680043.8.498.10964287649604862436796341368993301245,2
1.2.826.0.1.3680043.8.498.10965573028231658307306828073340279415,2
1.2.826.0.1.3680043.8.498.10975347305662629858093628672419901528,4
1.2.826.0.1.3680043.8.498.10979105661314213697886164132444977106,1
1.2.826.0.1.3680043.8.498.10981062990502278795793220223076241424,4
1.2.826.0.1.3680043.8.498.10983416091338854252058678062116243962,2
1.2.826.0.1.3680043.8.498.10992875360571368325079907908221899699,4
1.2.826.0.1.3680043.8.498.10994554560803816407362754025763036100,1
1.2.826.0.1.3680043.8.498.10994848378662155711176898659205016445,3
1.2.826.0.1.3680043.8.498.10994854354532517072359864903910225174,2
1.2.826.0.1.3680043.8.498.10994899269366718796438389394954844979,4
1.2.826.0.1.3680043.8.498.10995980880227536691827030731644023480,4
1.2.826.0.1.3680043.8.498.10998144118962608870602180672090998054,1
1.2.826.0.1.3680043.8.498.10998405409474759941744305665540376339,1
1.2.826.0.1.3680043.8.498.11006241238894862275805535376070111510,1
1.2.826.0.1.3680043.8.498.11007527194601989039620198927241696256,3
1.2.826.0.1.3680043.8.498.11010004366885474301784150582039137111,4
1.2.826.0.1.3680043.8.498.11011061033863592500429481719734134286,3
1.2.826.0.1.3680043.8.498.11014091506864318694851337553197477906,1
1.2.826.0.1.3680043.8.498.11040296449332764126530525726037541310,1
1.2.826.0.1.3680043.8.498.11041694833778404465582610810664391088,2
1.2.826.0.1.3680043.8.498.11043081829401721095803441219553837608,1
1.2.826.0.1.3680043.8.498.11043543420859531726426521315399258528,3
1.2.826.0.1.3680043.8.498.11043926695471016727738735328317975282,2
1.2.826.0.1.3680043.8.498.11045459770905584149950259201414074545,0
1.2.826.0.1.3680043.8.498.11049882927267755769995376553330493298,2
1.2.826.0.1.3680043.8.498.11050604958275820465127935558416408008,1
1.2.826.0.1.3680043.8.498.11052656375391331522834364601050945860,0
1.2.826.0.1.3680043.8.498.11052720536194493057619720620119095739,3
1.2.826.0.1.3680043.8.498.11057883757434391643878168168845592475,1
1.2.826.0.1.3680043.8.498.11060834081463491262807709963877480026,1
1.2.826.0.1.3680043.8.498.11064977170395595339882840534354229547,2
1.2.826.0.1.3680043.8.498.11067200656721609390997819562401839124,2
1.2.826.0.1.3680043.8.498.11070900122260301212131296598983372089,3
1.2.826.0.1.3680043.8.498.11077406555624926104628200252710914930,3
1.2.826.0.1.3680043.8.498.11079556243110299049578981210837702995,1
1.2.826.0.1.3680043.8.498.11080651962904815250736183346281427445,0
1.2.826.0.1.3680043.8.498.11084010833221855396433326769153950681,1
1.2.826.0.1.3680043.8.498.11090884548990390279582832205294943635,3
1.2.826.0.1.3680043.8.498.11091958567356981151034727948765010881,2
1.2.826.0.1.3680043.8.498.11100224438877567316062152508871079233,0
1.2.826.0.1.3680043.8.498.11103894265181149878864749992746236768,1
1.2.826.0.1.3680043.8.498.11110575656494405149601490027444484170,3
1.2.826.0.1.3680043.8.498.11111022632180183697497694737350901427,1
1.2.826.0.1.3680043.8.498.11113442398569287228475456000446876768,3
1.2.826.0.1.3680043.8.498.11119324966854127911591363740049886324,1
1.2.826.0.1.3680043.8.498.11122485005317809892694992204053124213,1
1.2.826.0.1.3680043.8.498.11123446342116837882811834332727990911,3
1.2.826.0.1.3680043.8.498.11125718814639515292482773418372267821,2
1.2.826.0.1.3680043.8.498.11126383719852491587081347886000714259,4
1.2.826.0.1.3680043.8.498.11128099896284546522122813576483001027,3
1.2.826.0.1.3680043.8.498.11129751904857491327872353316480050290,1
1.2.826.0.1.3680043.8.498.11131210140372132238166068091728877219,2
1.2.826.0.1.3680043.8.498.11135115047200279264914390528987153419,1
1.2.826.0.1.3680043.8.498.11136723251983227230447257874027263286,2
1.2.826.0.1.3680043.8.498.11145632111083286399683467139301564425,2
1.2.826.0.1.3680043.8.498.11148939654362681630811787929668902046,2
1.2.826.0.1.3680043.8.498.11149530279799223497509928655010867960,3
1.2.826.0.1.3680043.8.498.11150193626240150189232364321568347937,0
1.2.826.0.1.3680043.8.498.11150597567791052354257165699079348456,4
1.2.826.0.1.3680043.8.498.11150751959089942633754454715290410758,3
1.2.826.0.1.3680043.8.498.11152585968424897353533125085307104033,0
1.2.826.0.1.3680043.8.498.11154238555579687338157479416363307605,1
1.2.826.0.1.3680043.8.498.11156884483511690263238401598901614096,0
1.2.826.0.1.3680043.8.498.11159546221032123495135103648570690656,1
1.2.826.0.1.3680043.8.498.11173951743276817877673759975853741079,0
1.2.826.0.1.3680043.8.498.11180457573346204459956051956213528997,3
1.2.826.0.1.3680043.8.498.11183915112115196028799391678356464392,1
1.2.826.0.1.3680043.8.498.11184968672176462852561645279750399747,0
1.2.826.0.1.3680043.8.498.11190292536746235063218740991532759863,3
1.2.826.0.1.3680043.8.498.11191015483427903713800997920940844550,0
1.2.826.0.1.3680043.8.498.11192287547210248515805146368662883131,2
1.2.826.0.1.3680043.8.498.11201589885283493748455257854104771618,2
1.2.826.0.1.3680043.8.498.11201741528059502111642265469347871878,4
